weight_true,max_stress_true,max_disp_true,weight_mean,weight_std,max_stress_mean,max_stress_std,max_disp_mean,max_disp_std
9648.027,25725.506,2.6772168,9479.858,319.56125,24678.006,1793.3722,2.6742187,0.1303132
6365.3735,126695.92,9.870032,6382.946,120.75956,125569.53,27184.09,9.892971,1.4223807
5255.1743,16676.877,3.163456,5218.0576,193.8685,18839.436,1571.4739,3.298707,0.15438764
5861.6035,75957.75,3.8453038,5987.2783,186.94678,30848.047,5091.428,3.1470916,0.19622833
6395.8164,54551.902,5.5217876,6405.8125,119.61261,54149.645,3824.4658,5.369633,0.25686026
6380.259,36176.547,3.1789277,6396.2705,138.71532,25208.123,3983.8008,3.1083114,0.19061409
7699.233,21100.03,2.8343375,7617.6455,96.0045,19475.807,1518.788,2.8033185,0.108261734
9176.985,12863.675,1.9275801,9129.068,236.5766,12913.798,1127.2167,1.9923928,0.11400809
8042.5435,30487.873,3.5548713,8017.2744,101.78873,29843.955,2341.4822,3.5885978,0.15609223
7060.293,26635.303,3.2630472,7090.0264,82.14116,26737.365,2526.7568,3.2611825,0.15395251
6264.546,17733.258,3.793874,6243.588,114.700645,19626.65,1237.362,3.386589,0.10619564
5816.4175,17488.1,3.4365547,5878.515,151.88968,18432.4,1435.3967,3.3626251,0.106411755
8142.412,13607.232,2.2626898,8115.7993,145.08136,14036.6,1563.142,2.2431583,0.14907277
7827.083,16557.377,2.5168571,7836.97,95.7857,16649.254,1258.1418,2.6030822,0.092895836
7308.5933,18831.443,2.5889013,7297.4155,87.874695,18126.115,1592.0586,2.5732293,0.09797545
6222.827,15459.037,2.8865576,6201.0845,129.91473,16799.248,1434.2627,2.7478936,0.11627408
5974.496,39982.125,4.172515,6046.998,151.53445,40835.18,3075.177,4.387775,0.25135493
8842.006,14158.023,1.9833562,8842.241,164.61621,17034.88,2391.1284,2.1692564,0.12723273
7131.334,11868.7295,2.2996132,7049.5923,104.67076,11994.13,970.57666,2.3338637,0.09036234
7662.4717,55424.844,4.821208,7708.011,106.81016,58937.125,6763.375,5.205145,0.39982218
8981.707,17874.533,2.270434,8872.948,217.11543,17030.508,1298.8167,2.3092687,0.11525041
6793.4634,87405.33,5.8882117,6821.8433,106.76188,75093.72,8886.972,5.9468203,0.46341577
6911.911,23587.812,3.3595328,6917.476,84.50684,24980.096,1395.3807,3.2917733,0.11629392
8486.995,25574.557,2.7316947,8494.065,155.75746,25930.762,1335.0602,2.8773365,0.1053245
7751.3164,15246.616,2.9169526,7760.5337,107.86104,15664.878,1202.8527,2.823111,0.086357035
6603.8843,48076.6,5.216132,6540.596,112.11839,47915.28,2970.094,5.118658,0.27048644
7262.5938,16379.363,2.4034934,7243.2124,102.131744,17175.15,1792.6056,2.595906,0.14430082
6946.0854,28379.463,3.423593,6881.143,75.96339,27430.525,1851.5667,3.470893,0.14626412
7942.6196,14163.006,2.469557,7961.832,114.390884,15153.602,1191.1282,2.4682558,0.081783086
6959.337,29495.9,4.2852054,6911.7104,73.38778,31502.508,1633.3633,4.3010135,0.17724854
6008.673,45513.832,4.619247,6018.607,171.42471,47386.8,3484.7473,4.8739104,0.261308
8217.746,35677.32,3.8701797,8190.0337,148.4888,32654.955,4556.255,3.5752294,0.34524927
8853.138,24956.545,2.6395948,8868.625,251.59479,27635.018,3861.1396,2.7982144,0.18828441
